description	price	prime	url	stars	num_reviews
ASUS Nvidia GeForce RTX 3060, Scheda Grafica, Nero, Full-Height/Full-Length (FH/FL)	377,89	True	https://www.amazon.it/Nvidia-GeForce-Grafica-Full-Height-Full-Length/dp/B0966689N3/ref=sr_1_45?keywords=gpu&qid=1699106662&sr=8-45	4,6	585
MSI Radeon RX 6600 MECH 2X 8G Scheda video gaming - 8GB GDDR6, 2491 MHz, PCI Express 4 x 8, 128-bit, 3x DP v 1.4a, HDMI 2.1 (Supporta 4K & 8K)	253,00	True	https://www.amazon.it/MSI-Radeon-6600-Scheda-video/dp/B09GW3XN7K/ref=sr_1_46?keywords=gpu&qid=1699106662&sr=8-46	4,3	1.569
Scheda Video MAXSUN AMD Radeon RX 550 Basso Profilo 4GB GDDR5 sff Computer PC Gaming Video Scheda grafica GPU 128-Bit DirectX 12 PCI Express X16 3.0, HDMI, DisplayPort	129,99	True	https://www.amazon.it/RX-550-Profilo-Computer-DisplayPort/dp/B09SKZSDRT/ref=sr_1_47?keywords=gpu&qid=1699106662&sr=8-47	4,2	148
EVGA TARJETA GRAFICA 6GB GDDR6 GEFORCE RTX 2060 KO ULTRA GAMING 06G-P4-2068-KR	369,88	False	https://www.amazon.it/EVGA-TARJETA-GRAFICA-GEFORCE-06G-P4-2068-KR/dp/B083JX52VG/ref=sr_1_48?keywords=gpu&qid=1699106662&sr=8-48	4,5	1.046
Asus ROG Strix NVIDIA GeForce RTX 3090 White OC Edition Scheda Grafica, 24GB GDDR6X 384-bit 19 Gbps PCIE 4.0, GPU NVIDIA Ampere, ROG-STRIX-RTX3090-O24G-WHITE	3.251,73	True	https://www.amazon.it/ASUS-GeForce-Grafica-384-bit-ROG-STRIX-RTX3090-O24G-WHITE/dp/B08P94FVLV/ref=sr_1_49?keywords=gpu&qid=1699106662&sr=8-49	4,3	29
Asus ROG Strix LC NVIDIA GeForce RTX 3080 Ti OC Edition Scheda Grafica, 12 GB GDDR6X, PCIe 4.0, HDMI 2.1, DisplayPort 1.4a, Raffreddamento a Liquido, PSU Consigliata 850W, RGB, GPU Tweak II, Nero		False	https://www.amazon.it/ASUS-GeForce-DisplayPort-Raffreddamento-Consigliata/dp/B096KY13Q7/ref=sr_1_50?keywords=gpu&qid=1699106662&sr=8-50	4,3	4
HHCJ6 Dell NVIDIA Tesla K80 24 GB GDDR5 PCI-E 3.0 Server GPU Acceleratore (rinnovato)	89,00	False	https://www.amazon.it/HHCJ6-Dell-NVIDIA-Acceleratore-rinnovato/dp/B07GJ45V3D/ref=sr_1_51?keywords=gpu&qid=1699106662&sr=8-51	3,8	82
ASUS DUAL NVIDIA GeForce RTX 4060 OC Edition White Scheda Grafica, 8 GB GDDR6 128-bit 17 Gbps PCIE 4.0, GPU Tweak III, DUAL-RTX4060-O8G-WHITE	363,00	False	https://www.amazon.it/ASUS-GeForce-Grafica-128-bit-DUAL-RTX4060-O8G-WHITE/dp/B0C9TM6568/ref=sr_1_52?keywords=gpu&qid=1699106662&sr=8-52	4,4	4
ASUS NVIDIA GeForce GT 730, Scheda Grafica, 2GB GDDR5, PCIe 2.0, HDMI, DVI, D-Sub, Supporta Fino a 3 Monitor, Design a due Slot, Ridotto Consumo Energetico, GPU Tweak II, Blu/Nero	80,67	True	https://www.amazon.it/GeForce-Grafica-Supporta-Monitor-Energetico/dp/B01A9GJ55K/ref=sr_1_53?keywords=gpu&qid=1699106662&sr=8-53	4,4	809
EZDIY-FAB Supporto Verticale per GPU PCIe 4.0 con Modulo LED ARGB 5V 3Pin,kit di Supporto per Schede Video con Cavo Riser Bianco PCIe 4.0 X16 Gen4 da 17cm/6,69inch ad Angolo Retto di 90 Gradi-Bianco	72,99	True	https://www.amazon.it/EZDIY-FAB-Supporto-Verticale-Modulo-Gradi-Bianco/dp/B0BXNC692S/ref=sr_1_54?keywords=gpu&qid=1699106662&sr=8-54	4,5	39
